genes	logFC	logCPM	LR	PValue	FDR
TRINITY_DN9732_c0_g2	2.44292940474994	1.63306294721886	54.4290610276284	1.61161811510447e-13	7.77670205262511e-09
TRINITY_DN144673_c0_g1	6.57177522958061	4.27133496036604	39.1038879012115	4.01842968118222e-10	9.69526529178834e-06
TRINITY_DN12350_c0_g1	-3.98395442123653	2.53286710035428	30.3487401518709	3.60941325336224e-08	0.000580562090425805
TRINITY_DN195478_c0_g1	-3.11558252761015	1.22858888921744	29.3119544755937	6.16144057884115e-08	0.000604986980221296
TRINITY_DN5000_c0_g1	-2.98844218698303	2.36850701070533	29.2784887500188	6.26877544059866e-08	0.000604986980221296
TRINITY_DN102282_c0_g2	-2.54694248275239	0.485204815586848	28.5726544732919	9.02477316815218e-08	0.000725802340760025
TRINITY_DN34660_c0_g1	-3.13022550397399	0.103503527916232	27.5710780431158	1.51426150951786e-07	0.0010438453554325
TRINITY_DN773_c0_g1	-1.78795333282822	5.25741475577932	26.4331473199214	2.72818335170204e-07	0.00164557199316288
TRINITY_DN12307_c0_g1	-1.58553803733379	4.19480132142972	25.3362558672084	4.81571457028011e-07	0.00258197212082552
TRINITY_DN97745_c0_g2	-1.12873368431497	5.67657137112403	24.6099310807673	7.01890776800903e-07	0.00338690375437508
TRINITY_DN531_c3_g1	4.31501809816372	5.55308299045751	23.9040609314777	1.01257936473502e-06	0.00444190951508397
TRINITY_DN82915_c0_g1	-1.46122376204569	1.45742320374487	23.5361042438451	1.22591597445754e-06	0.00492961245262283
TRINITY_DN60925_c0_g1	-2.91568957868572	1.52736431550114	23.156504398125	1.4933720902212e-06	0.00554316744934876
TRINITY_DN40308_c0_g2	2.75824000448983	4.2740252897181	22.8556464703748	1.74635533717045e-06	0.00601918788855878
TRINITY_DN12244_c0_g3	1.36687533604821	3.43420567524064	21.7721742301853	3.07020750178291e-06	0.00933602190781881
TRINITY_DN1897_c6_g1	-1.49966410239031	3.6615669236842	21.6804480744503	3.22057138938317e-06	0.00933602190781881
TRINITY_DN11329_c2_g2	-3.14595610957456	0.200183198568072	21.4089884801769	3.71027705594446e-06	0.00933602190781881
TRINITY_DN13770_c0_g1	8.04044340235398	8.49192726155895	21.3676690962406	3.79110609007556e-06	0.00933602190781881
TRINITY_DN13103_c0_g1	-2.77996758419415	3.58622450207517	21.3392256571055	3.84777175860502e-06	0.00933602190781881
TRINITY_DN16481_c1_g1	3.34664976834194	4.5916490273104	21.3284141937982	3.86953285025855e-06	0.00933602190781881
TRINITY_DN43439_c0_g1	8.44369524667066	7.18527464411917	21.1709121385817	4.20092183101366e-06	0.00965291819208253
TRINITY_DN1805_c0_g2	2.20416280494043	0.665756789873356	21.0152278601681	4.55647434302508e-06	0.0099940051340151
TRINITY_DN14602_c1_g1	-2.1899214220793	1.83232866574247	20.8241862454131	5.03431773994538e-06	0.0105619986184054
TRINITY_DN4602_c0_g2	-2.21010124911098	0.509246692410444	20.6628584877552	5.47681355662582e-06	0.0110115900567259
TRINITY_DN4303_c0_g1	8.59081020316449	7.47748622397467	20.2690770464386	6.72792367119788e-06	0.0128281977535071
TRINITY_DN67326_c1_g1	-3.21833727480445	2.46756367673307	20.2174289594314	6.91203095269168e-06	0.0128281977535071
TRINITY_DN946_c0_g1	-2.12208053276046	4.22131567977811	20.1175320516279	7.28260371454061e-06	0.0130153614682016
TRINITY_DN8407_c0_g1	-2.31673487162297	2.70105157679894	19.9039479383791	8.14319903260029e-06	0.0137476014098613
TRINITY_DN7203_c0_g1	-2.14226574884622	2.28118409504336	19.8762307827305	8.26212212222774e-06	0.0137476014098613
TRINITY_DN124189_c0_g1	6.98716717778733	7.16279447230454	19.7737433691221	8.71719983852353e-06	0.0140213253669372
TRINITY_DN124189_c0_g2	7.29075968354065	7.44689895429751	19.6487362990073	9.3064839551897e-06	0.0141899390919936
TRINITY_DN12434_c0_g2	-1.52642704472876	6.26442786103698	19.6275671502208	9.41016394379314e-06	0.0141899390919936
TRINITY_DN13058_c0_g2	-2.55342220356298	2.96754431912287	19.5382652488218	9.86045768429118e-06	0.0144183795484178
TRINITY_DN35440_c0_g1	-4.149580221427	2.16663502397878	19.232964312835	1.15698198487632e-05	0.0164202966759476
TRINITY_DN192863_c0_g1	4.37959298965968	3.29799354452876	19.1127362145951	1.2321986218749e-05	0.0169324156523843
