genes	logFC	logCPM	LR	PValue	FDR
TRINITY_DN28225_c0_g1	4.24450158179503	5.38555683646558	85.7373342582591	2.05496263601825e-20	9.91601670384245e-16
TRINITY_DN781_c0_g2	3.3085507597909	3.11227531015727	35.0148912831801	3.27193482077711e-09	7.89419714208892e-05
TRINITY_DN52518_c1_g1	5.46093424983434	4.54502712377602	29.5227289854697	5.52647941083606e-08	0.000888915791634944
TRINITY_DN34660_c0_g1	-4.1986134081641	0.103505835356884	26.9854109961812	2.04996885072401e-07	0.0022866689133513
TRINITY_DN19423_c1_g2	-2.88904850072291	0.498426205780924	26.7055427499723	2.3694086638945e-07	0.0022866689133513
TRINITY_DN192863_c0_g1	4.91516831952772	3.29802236805221	25.9803478526487	3.44910552603273e-07	0.00277388563421972
TRINITY_DN5000_c0_g1	-3.8602481499871	2.36849755251593	25.4572313933807	4.52299113938089e-07	0.00311789163485265
TRINITY_DN27475_c0_g1	-2.20929405338528	2.37546155708007	23.0609107866772	1.56949303326044e-06	0.00911090437217995
TRINITY_DN1805_c0_g2	3.40540231561033	0.665457852226326	22.7586384292203	1.83676625054015e-06	0.00911090437217995
TRINITY_DN24864_c0_g2	-1.8007330220444	3.31191271671944	22.6540365169211	1.9395233310195e-06	0.00911090437217995
TRINITY_DN7056_c0_g1	-2.37707516695576	4.30139082844988	22.4212910466435	2.18933548920924e-06	0.00911090437217995
TRINITY_DN16481_c1_g1	5.15108582515012	4.59165367537988	22.3554119330607	2.26573657036016e-06	0.00911090437217995
TRINITY_DN4889_c0_g3	1.83087537738493	3.16246566697693	21.0513100861728	4.47147018607767e-06	0.0165974094122302
TRINITY_DN8407_c0_g1	-3.20978338153317	2.70110090311845	20.1226372973807	7.26319078527187e-06	0.023236820719739
TRINITY_DN195478_c0_g1	-3.68849227228494	1.22868845553957	20.0702750619962	7.46479157174994e-06	0.023236820719739
TRINITY_DN2435_c1_g1	-2.42993370459459	5.01843007710299	20.0097487017226	7.70483548546908e-06	0.023236820719739
TRINITY_DN6756_c0_g1	-1.77747816470739	7.67219668867493	19.7010859795408	9.05498927911664e-06	0.0257023207455585
TRINITY_DN9732_c0_g2	2.19101525085076	1.6329317527964	19.413935232397	1.05236374795146e-05	0.0282115334964722
TRINITY_DN111640_c2_g1	4.84137636542037	0.792851437106206	19.178954898829	1.19018328305213e-05	0.0302268969159987
TRINITY_DN2042_c0_g3	-1.86904688457626	1.15646379598519	18.7833413457997	1.46440655176985e-05	0.0353317368745511
TRINITY_DN14640_c1_g1	2.23549687013713	1.58415661247623	18.5054657672352	1.6941775111471e-05	0.0375666454715441
TRINITY_DN3822_c0_g3	4.01662299411587	1.43956909924876	18.4846956527486	1.71274132791887e-05	0.0375666454715441
TRINITY_DN45390_c0_g2	3.27856370496482	1.51397886130617	18.2624668545196	1.92462169345459e-05	0.0403785631286773
TRINITY_DN20258_c0_g1	2.2041949919384	0.903530003029798	18.1067652663822	2.08858042817493e-05	0.0419926499921471
