genes	logFC	logCPM	LR	PValue
TRINITY_DN189716_c0_g1	-0.0157325021943392	0.881604757043553	0.00114956261869459	0.972952746201179
TRINITY_DN3907_c0_g1	0.20460754531134	3.87135320451699	0.969151576284382	0.324891864489469
TRINITY_DN13857_c0_g2	-0.659117564794151	2.03595081619226	3.76590018388075	0.052307695352443
TRINITY_DN23623_c0_g1	0.159912102612141	0.17517054734016	0.207772545293064	0.648518890126555
TRINITY_DN23623_c0_g2	0.721314151027955	5.04660094600329	3.65810977494313	0.0557969012418351
TRINITY_DN96073_c0_g1	-0.224703349962797	1.88681121718323	0.132893737916874	0.715450379694772
TRINITY_DN23623_c0_g3	0.0785066275219309	0.670661967320359	0.124784236057118	0.723902433785608
TRINITY_DN301862_c0_g1	-0.228601145636968	1.50884801874758	0.323308779243318	0.56962594204129
TRINITY_DN9841_c0_g1	-0.230614002375793	3.26248376391712	1.16601422875503	0.28022172527554
TRINITY_DN13578_c0_g1	-0.0857173509658935	2.51431583543012	0.0431206520683372	0.835498256754258
TRINITY_DN3628_c0_g1	-0.326131463143945	1.65167903416095	0.51688238538485	0.472174605947879
TRINITY_DN13578_c0_g2	-0.0858597023260991	3.96333010776202	0.0458988206135569	0.830359826384016
TRINITY_DN69224_c0_g1	0.19515760033561	3.24044336154838	0.28514950958456	0.593345738658732
TRINITY_DN30847_c0_g2	0.259733524149831	0.325259327600371	0.408559718339093	0.522701442084906
TRINITY_DN29905_c0_g1	0.72519063349766	0.224703945388863	1.638450522641	0.200538195208969
TRINITY_DN11205_c0_g1	0.243332804239978	2.06109500850087	0.222240484889117	0.637338058473006
TRINITY_DN62029_c0_g2	-0.11310683797712	2.30875746147086	0.182752628069531	0.669018269960056
TRINITY_DN13078_c5_g1	0.6075021548587	0.981239907517264	1.41446042176599	0.234317346845333
TRINITY_DN5547_c3_g1	0.136234472811144	4.19793606207102	0.166325490985033	0.683398323142811
TRINITY_DN27997_c0_g1	0.170438156882356	0.742931275716395	0.163364744088744	0.686077383763859
TRINITY_DN7910_c1_g1	0.584642921091527	0.855980008216303	0.769387908369438	0.380406474389176
TRINITY_DN71148_c0_g1	0.253293449466864	1.02681146142605	0.672051829564461	0.412337159273402
TRINITY_DN31829_c0_g1	-0.548546711178712	3.47317976913103	4.98697619753213	0.0255387993131207
TRINITY_DN18878_c0_g1	-0.190630649476205	2.00221949652064	0.261505634402299	0.609087645723228
TRINITY_DN5314_c1_g1	-0.083055760786357	1.26609949843408	0.0486246017899727	0.825474088127911
TRINITY_DN4820_c0_g1	0.283347472058569	3.75814187416492	1.36535608485193	0.242611377849649
TRINITY_DN26606_c0_g1	0.274805845409343	4.27886804996571	0.797742086553768	0.371769307055533
TRINITY_DN10874_c0_g1	-0.132443142084792	4.39674497855531	0.283481490096053	0.5944283514647
TRINITY_DN26713_c1_g1	0.201846948447857	3.45938700434905	0.281507724770169	0.595714699182769
TRINITY_DN24363_c0_g1	0.337475612480384	1.6799572048893	0.626341805474647	0.428700347358787
TRINITY_DN61489_c1_g1	0.0990788632819188	0.246160684878627	0.0925598856953656	0.760947671707109
TRINITY_DN77709_c0_g1	-0.600213089934687	3.46841237146396	3.63692730004295	0.0565111393631748
TRINITY_DN56475_c0_g1	-0.095677319274795	4.18551791989297	0.0722018246735949	0.788157494804514
TRINITY_DN18400_c0_g1	0.0419203922682753	5.25161701232361	0.0200481155785717	0.887402785332744
TRINITY_DN1082_c8_g2	0.17389784302327	1.63496217124433	0.132968764631862	0.715373564559233
TRINITY_DN58604_c6_g1	-0.229256719300802	2.04471648617599	0.610306015819846	0.43467261304679
TRINITY_DN41353_c0_g1	0.507871645789054	1.57609707777347	1.37979374804313	0.240136282663197
TRINITY_DN4089_c0_g1	0.0548628288559549	6.73871851342983	0.042745357524538	0.836205493728851
TRINITY_DN10476_c3_g1	-0.0232170564830059	2.74368205918352	0.00445808628882638	0.946765680665891
TRINITY_DN4089_c0_g2	0.135551875972293	3.30242560124421	0.191736265697983	0.661475450447314
TRINITY_DN25345_c0_g1	-0.0378269169067737	1.25747028672078	0.0146782303551944	0.903569258900779
TRINITY_DN16947_c1_g1	0.062715445903799	2.10971229235878	0.0418419222500983	0.837921393837671
TRINITY_DN8371_c1_g1	-0.87493586470498	1.41083526353278	5.45782481792298	0.0194808829943201
TRINITY_DN28923_c0_g1	0.885690579312212	4.45641252121864	7.02696433186395	0.00802913464677668
TRINITY_DN6509_c2_g1	0.0263948203547458	0.398236594099208	0.00558882555487017	0.940406902911459
TRINITY_DN568_c2_g1	0.0775632484833752	4.71498960820941	0.151746858250634	0.696871556395495
TRINITY_DN7667_c0_g1	-0.182797541971554	4.10170043318322	0.616568899986746	0.432325169165731
TRINITY_DN5945_c0_g2	-1.05940373802672	6.00521085570297	3.40101938993217	0.0651561411513787
TRINITY_DN21380_c0_g1	0.496230909853944	4.144986205891	0.69648415248431	0.403967597758466
